Time,PWM(%),ADC,Error
1,0,277,223
2,22,277,223
3,44,277,223
4,66,277,223
5,88,277,223
6,100,277,223
7,100,277,223
8,100,277,223
9,100,277,223
10,100,277,223
11,100,277,223
12,100,277,223
13,100,277,223
14,100,277,223
15,100,277,223
16,100,277,223
17,100,277,223
18,100,277,223
19,100,277,223
20,100,277,223
21,100,277,223
22,100,277,223
23,100,277,223
24,100,277,223
25,100,277,223
26,100,277,223
27,100,277,223
28,100,277,223
29,100,277,223
30,100,277,223
31,100,277,223
32,100,277,223
33,100,277,223
34,100,277,223
1,0,277,723
2,72,277,723
3,100,277,723
4,100,277,723
5,100,277,723
6,100,277,723
7,100,277,723
8,100,277,723
9,100,277,723
10,100,277,723
11,100,277,723
12,100,277,723
13,100,277,723
14,100,277,723
15,100,277,723
16,100,277,723
17,100,277,723
18,100,277,723
19,100,277,723
20,100,277,723
21,100,277,723
22,100,277,723
23,100,277,723
24,100,277,723
25,100,277,723
26,100,277,723
27,100,277,723
28,100,277,723
29,100,277,723
30,100,277,723
31,100,277,723
32,100,277,723
33,100,277,723
34,100,277,723
35,100,277,723
36,100,277,723
37,100,277,723
38,100,277,723
39,100,277,723
40,100,277,723
41,100,277,723
42,100,277,723
43,100,277,723
44,100,277,723
45,100,277,723
46,100,277,723
47,100,277,723
48,100,277,723
49,100,277,723
50,100,277,723
